"Year","Mean summer temperature (in deg. C), 1781 ? 1988"
"1781",16.69
"1782",15.58
"1783",15.96
"1784",16.18
"1785",14.43
"1786",13.78
"1787",14.66
"1788",16.53
"1789",15.25
"1790",15.35
"1791",15.75
"1792",14.96
"1793",15.72
"1794",16.27
"1795",15.56
"1796",15.90
"1797",16.58
"1798",16.09
"1799",14.88
"1800",15.97
"1801",16.02
"1802",15.55
"1803",14.84
"1804",15.99
"1805",14.29
"1806",15.72
"1807",17.43
"1808",16.94
"1809",15.73
"1810",15.87
"1811",17.21
"1812",15.43
"1813",14.10
"1814",13.72
"1815",14.65
"1816",13.34
"1817",15.04
"1818",14.93
"1819",15.68
"1820",14.50
"1821",14.13
"1822",16.17
"1823",15.22
"1824",14.71
"1825",15.16
"1826",15.65
"1827",15.71
"1828",14.98
"1829",14.15
"1830",15.12
"1831",14.64
"1832",14.51
"1833",14.68
"1834",17.41
"1835",15.29
"1836",14.66
"1837",14.59
"1838",14.32
"1839",14.82
"1840",14.68
"1841",15.41
"1842",15.56
"1843",13.58
"1844",14.07
"1845",14.21
"1846",17.23
"1847",16.44
"1848",15.55
"1849",15.12
"1850",14.37
"1851",13.44
"1852",15.42
"1853",15.16
"1854",14.81
"1855",14.88
"1856",14.93
"1857",15.74
"1858",15.14
"1859",16.39
"1860",14.46
"1861",15.40
"1862",15.50
"1863",15.45
"1864",14.10
"1865",16.30
"1866",15.09
"1867",14.72
"1868",16.62
"1869",14.87
"1870",14.72
"1871",14.44
"1872",15.22
"1873",15.14
"1874",15.14
"1875",15.91
"1876",14.71
"1877",14.46
"1878",14.71
"1879",14.13
"1880",14.24
"1881",14.78
"1882",13.53
"1883",14.53
"1884",14.48
"1885",14.57
"1886",15.06
"1887",14.72
"1888",14.50
"1889",15.13
"1890",14.30
"1891",14.72
"1892",15.37
"1893",15.13
"1894",14.23
"1895",15.46
"1896",13.89
"1897",14.52
"1898",14.83
"1899",15.01
"1900",15.47
"1901",15.52
"1902",13.93
"1903",14.91
"1904",15.76
"1905",15.52
"1906",14.36
"1907",14.80
"1908",14.74
"1909",13.54
"1910",13.76
"1911",16.27
"1912",13.30
"1913",13.40
"1914",14.08
"1915",15.06
"1916",13.93
"1917",16.78
"1918",14.56
"1919",14.65
"1920",15.00
"1921",16.16
"1922",14.62
"1923",14.99
"1924",14.62
"1925",14.59
"1926",14.30
"1927",15.15
"1928",15.13
"1929",15.87
"1930",15.31
"1931",14.78
"1932",15.94
"1933",14.42
"1934",15.83
"1935",15.55
"1936",14.80
"1937",15.84
"1938",14.93
"1939",14.54
"1940",14.51
"1941",14.10
"1942",15.68
"1943",15.72
"1944",15.18
"1945",15.45
"1946",15.76
"1947",17.49
"1948",14.94
"1949",15.54
"1950",16.90
"1951",15.44
"1952",15.79
"1953",15.38
"1954",14.36
"1955",14.46
"1956",14.43
"1957",14.18
"1958",16.01
"1959",15.58
"1960",14.77
"1961",15.36
"1962",14.73
"1963",15.47
"1964",16.24
"1965",14.13
"1966",14.84
"1967",15.58
"1968",14.63
"1969",15.10
"1970",15.02
"1971",15.16
"1972",14.00
"1973",15.68
"1974",14.50
"1975",15.40
"1976",15.12
"1977",14.54
"1978",13.94
"1979",14.78
"1980",14.28
"1981",15.04
"1982",16.06
"1983",15.94
"1984",13.91
"1985",15.36
"1986",15.34
"1987",14.67
"1988",15.88

Mean summer temperature (in deg. C), 1781 ? 1988

